X,Y,Z
412061.856,161469.5337,1826.563354
412073.2791,161453.1169,1824.0625
412084.7023,161436.7,1820.125488
412096.1254,161420.2832,1818.339844
412107.5485,161403.8664,1815.967041
412118.9717,161387.4496,1814.675659
412130.3948,161371.0328,1812.06958
412141.8179,161354.6159,1808.9198
412153.2411,161338.1991,1807.185425
412164.6642,161321.7823,1805.440674
412176.0873,161305.3655,1806.06189
412187.5105,161288.9487,1803.550659
412198.9336,161272.5318,1803.058105
412210.3567,161256.115,1801.48938
412221.7799,161239.6982,1801.024292
412233.203,161223.2814,1799.913208
412244.6261,161206.8645,1798.045532
412256.0493,161190.4477,1796.80249
412267.4724,161174.0309,1794.414551
412278.8955,161157.6141,1793.86145
412290.3187,161141.1973,1790.588257
412301.7418,161124.7804,1789.28064
412313.1649,161108.3636,1785.04187
412324.5881,161091.9468,1780.019287
412336.0112,161075.53,1777.598877
412347.4343,161059.1132,1772.381958
412358.8575,161042.6963,1769.657471
412370.2806,161026.2795,1765.427979
412381.7037,161009.8627,1763.333496
412393.1269,160993.4459,1758.63501
412404.55,160977.0291,1756.177979
412415.9732,160960.6122,1752.437744
412427.3963,160944.1954,1747.822876
412438.8194,160927.7786,1744.864746
412450.2426,160911.3618,1744.881958
412461.6657,160894.945,1746.179688
412473.0888,160878.5281,1747.90332
412484.512,160862.1113,1748.478027
412495.9351,160845.6945,1748.619385
412507.3582,160829.2777,1747.453247
412518.7814,160812.8609,1746.497925
412530.2045,160796.444,1745.610962
412541.6276,160780.0272,1745.068237
412553.0508,160763.6104,1747.246826
412564.4739,160747.1936,1746.370605
412575.897,160730.7767,1744.447388
412587.3202,160714.3599,1745.396484
412598.7433,160697.9431,1746.639771
412610.1664,160681.5263,1747.42041
412621.5896,160665.1095,1747.474731
412633.0127,160648.6926,1746.670654
412644.4358,160632.2758,1746.576538
412655.859,160615.859,1748.884033
412667.2821,160599.4422,1748.683228
412678.7052,160583.0254,1748.664063
412690.1284,160566.6085,1748.370972
412701.5515,160550.1917,1747.648682
412712.9746,160533.7749,1746.808228
412724.3978,160517.3581,1746.478271
412735.8209,160500.9413,1746.036255
412747.244,160484.5244,1745.816528
412758.6672,160468.1076,1745.457153
412770.0903,160451.6908,1744.522095
412781.5135,160435.274,1744.769409
412792.9366,160418.8572,1743.257202
412804.3597,160402.4403,1742.242798
412815.7829,160386.0235,1742.499512
412827.206,160369.6067,1741.70752
412838.6291,160353.1899,1741.054199
412850.0523,160336.7731,1740.697998
412861.4754,160320.3562,1739.741577
412872.8985,160303.9394,1738.172729
412884.3217,160287.5226,1737.543945
412895.7448,160271.1058,1735.786987
412907.1679,160254.6889,1733.656494
412918.5911,160238.2721,1733.377686
412930.0142,160221.8553,1733.238403
412941.4373,160205.4385,1734.633301
412952.8605,160189.0217,1735.109741
412964.2836,160172.6048,1736.087402
412975.7067,160156.188,1735.856323
412987.1299,160139.7712,1737.947266
412998.553,160123.3544,1739.967407
413009.9761,160106.9376,1740.879028
413021.3993,160090.5207,1742.201294
413032.8224,160074.1039,1741.984619
413044.2455,160057.6871,1743.040405
413055.6687,160041.2703,1742.279907
413067.0918,160024.8535,1741.918457
413078.5149,160008.4366,1741.991089
413089.9381,159992.0198,1740.62793
413101.3612,159975.603,1739.351318
413112.7843,159959.1862,1738.573242
413124.2075,159942.7694,1736.824707
413135.6306,159926.3525,1734.800537
413147.0537,159909.9357,1733.315674
413158.4769,159893.5189,1730.612671
413169.9,159877.1021,1728.091187
413181.3232,159860.6853,1727.511108
413192.7463,159844.2684,1725.521118
413204.1694,159827.8516,1724.341797
413215.5926,159811.4348,1723.679932
413227.0157,159795.018,1722.453369
413238.4388,159778.6011,1720.442871
413249.862,159762.1843,1720.82605
413261.2851,159745.7675,1719.704468
413272.7082,159729.3507,1719.96106
413284.1314,159712.9339,1718.897217
413295.5545,159696.517,1716.762207
413306.9776,159680.1002,1716.358154
413318.4008,159663.6834,1714.012329
413329.8239,159647.2666,1711.414185
413341.247,159630.8498,1710.201904
413352.6702,159614.4329,1707.668823
413364.0933,159598.0161,1704.474976
413375.5164,159581.5993,1702.469482
413386.9396,159565.1825,1698.261108
413401.0162,159550.9752,1695.073364
413415.093,159536.768,1692.313477
413429.1697,159522.5607,1688.275269
413443.2465,159508.3535,1686.101929
413457.3232,159494.1463,1684.75708
413471.3999,159479.939,1683.418457
413485.4767,159465.7318,1681.646606
413499.5534,159451.5246,1679.551758
413513.6302,159437.3174,1676.795654
413527.7069,159423.1101,1674.06189
413541.7836,159408.9029,1671.538208
413555.8604,159394.6957,1669.351074
413569.9371,159380.4884,1667.486084
413584.0139,159366.2812,1665.617065
413598.0906,159352.074,1663.663696
413612.1674,159337.8668,1662.233521
413626.2441,159323.6595,1660.983521
413640.3208,159309.4523,1659.70459
413654.3976,159295.2451,1658.906128
413668.4743,159281.0378,1659.147095
413682.5511,159266.8306,1660.771606
413696.6278,159252.6234,1662.120972
413710.7045,159238.4162,1663.271729
413724.7813,159224.2089,1665.159546
413738.858,159210.0017,1666.448364
413752.9348,159195.7945,1667.67041
413767.0115,159181.5872,1669.792114
413781.0883,159167.38,1671.190063
413795.165,159153.1728,1675.246094
413809.2417,159138.9656,1684.052612
413823.3185,159124.7583,1688.880615
413837.3952,159110.5511,1696.491943
413851.472,159096.3439,1702.83606
413865.5487,159082.1366,1709.104492
413879.6254,159067.9294,1720.06604
413893.7022,159053.7222,1726.779297
413907.7789,159039.515,1733.45105
413921.8557,159025.3077,1744.741089
413935.9324,159011.1005,1751.123169
413950.0092,158996.8933,1757.060425
413964.0859,158982.686,1767.753296
413978.1626,158968.4788,1771.168701
413992.2394,158954.2716,1771.403198
414006.3161,158940.0643,1771.913818
414020.3929,158925.8571,1769.491455
414034.4696,158911.6499,1766.249023
414048.5463,158897.4427,1773.724854
414062.6231,158883.2354,1783.152222
414076.6998,158869.0282,1793.796265
414090.7766,158854.821,1798.825806
414104.8533,158840.6137,1797.574707
414118.9301,158826.4065,1795.633911
414133.0068,158812.1993,1790.324341
414147.0835,158797.9921,1786.31665
414161.1603,158783.7848,1782.289307
414175.237,158769.5776,1772.89563
414189.3138,158755.3704,1766.2052
414203.3905,158741.1631,1759.762817
414217.4672,158726.9559,1748.934937
414231.544,158712.7487,1742.47522
414245.6207,158698.5415,1736.422363
414259.6975,158684.3342,1730.858521
414273.7742,158670.127,1731.082397
414287.8509,158655.9198,1732.022217
414301.9277,158641.7125,1737.446289
414316.0044,158627.5053,1739.595215
414330.0812,158613.2981,1740.176025
414344.1579,158599.0909,1737.328735
414358.2347,158584.8836,1732.526855
414372.3114,158570.6764,1724.894165
414386.3881,158556.4692,1715.103271
414400.4649,158542.2619,1717.641479
414414.5416,158528.0547,1721.070435
414428.6184,158513.8475,1729.432617
414442.6951,158499.6403,1733.725342
414456.7718,158485.433,1736.456299
414470.8486,158471.2258,1739.122437
414484.9253,158457.0186,1738.297852
414499.0021,158442.8113,1737.101685
414513.0788,158428.6041,1735.864868
414527.1556,158414.3969,1733.726318
414541.2323,158400.1897,1730.517578
414555.309,158385.9824,1727.650879
414569.3858,158371.7752,1726.893677
414583.4625,158357.568,1727.835083
414597.5393,158343.3607,1730.885864
414611.616,158329.1535,1730.838501
414625.6927,158314.9463,1730.053345
414639.7695,158300.7391,1729.00769
414653.8462,158286.5318,1727.194336
414667.923,158272.3246,1725.356934
414681.9997,158258.1174,1722.878052
414696.0765,158243.9101,1720.684082
414710.1532,158229.7029,1715.854614
414724.2299,158215.4957,1711.917969
414738.3067,158201.2885,1708.321167
414752.3834,158187.0812,1705.453735
414766.4602,158172.874,1703.778687
414780.5369,158158.6668,1701.97229
414794.6136,158144.4595,1699.826538
414808.6904,158130.2523,1697.970947
414822.7671,158116.0451,1696.698608
414836.8439,158101.8379,1695.323853
414850.9206,158087.6306,1693.038574
414864.9974,158073.4234,1691.314087
414879.0741,158059.2162,1691.474854
414893.1508,158045.0089,1693.248657
414907.2276,158030.8017,1696.910034
414921.3043,158016.5945,1704.425293
414935.3811,158002.3873,1708.562988
414949.4578,157988.18,1714.92334
414963.5345,157973.9728,1723.316895
414977.6113,157959.7656,1728.478027
414991.688,157945.5583,1733.375732
415005.7648,157931.3511,1740.442017
415019.8415,157917.1439,1744.572754
415033.9183,157902.9367,1747.716919
415047.995,157888.7294,1754.928223
415062.0717,157874.5222,1758.572144
415076.1485,157860.315,1761.021851
415090.2252,157846.1077,1767.599609
415104.302,157831.9005,1770.178833
415118.3787,157817.6933,1772.740723
415132.4554,157803.4861,1776.219971
415146.5322,157789.2788,1775.342163
415160.6089,157775.0716,1772.025269
415174.6857,157760.8644,1766.807861
415188.7624,157746.6571,1763.344238
415202.8391,157732.4499,1759.653931
415216.9159,157718.2427,1752.874512
415230.9926,157704.0355,1747.333618
415245.0694,157689.8282,1742.378174
415259.1461,157675.621,1736.547241
415273.2229,157661.4138,1731.817505
415287.2996,157647.2065,1728.050781
415301.3763,157632.9993,1723.392822
415315.4531,157618.7921,1719.608643
415329.5298,157604.5848,1715.585571
415343.6066,157590.3776,1711.291992
415357.6833,157576.1704,1708.010986
415371.76,157561.9632,1705.154907
415385.8368,157547.7559,1701.390381
415399.9135,157533.5487,1696.928467
415413.9903,157519.3415,1693.544678
415428.067,157505.1342,1690.05603
415442.1438,157490.927,1688.696167
415456.2205,157476.7198,1691.067871
415470.2972,157462.5126,1700.255371
415484.374,157448.3053,1707.095825
415498.4507,157434.0981,1713.422241
415512.5275,157419.8909,1722.320435
415526.6042,157405.6836,1727.60083
415540.6809,157391.4764,1732.216675
415554.7577,157377.2692,1737.550415
415568.8344,157363.062,1739.067749
415582.9112,157348.8547,1742.354126
415596.9879,157334.6475,1743.996338
415611.0647,157320.4403,1745.366943
415625.1414,157306.233,1747.728027
415639.2181,157292.0258,1748.048218
415653.2949,157277.8186,1748.702515
415667.3716,157263.6114,1751.654419
415681.4484,157249.4041,1753.194214
415695.5251,157235.1969,1754.945068
415709.6018,157220.9897,1757.723755
415723.6786,157206.7824,1758.653931
415737.7553,157192.5752,1759.204834
415751.8321,157178.368,1761.421265
415765.9088,157164.1608,1761.947021
415779.9856,157149.9535,1761.346191
415794.0623,157135.7463,1757.994263
415808.139,157121.5391,1755.22644
415822.2158,157107.3318,1753.160889
415836.2925,157093.1246,1753.084717
415850.3693,157078.9174,1751.608032
415864.446,157064.7102,1749.531982
415878.5227,157050.5029,1748.84436
415892.5995,157036.2957,1746.597168
415906.6762,157022.0885,1742.659058
415920.753,157007.8812,1744.419067
415934.8297,156993.674,1746.183594
415948.9064,156979.4668,1745.560669
415962.9832,156965.2596,1742.006348
415977.0599,156951.0523,1739.840454
415991.1367,156936.8451,1735.856689
416005.2134,156922.6379,1731.662842
416019.2902,156908.4306,1728.604004
416033.3669,156894.2234,1724.963501
416047.4436,156880.0162,1722.534912
416061.5204,156865.809,1720.570068
416075.5971,156851.6017,1719.661255
416089.6739,156837.3945,1722.828491
416103.7506,156823.1873,1724.307983
416117.8273,156808.98,1725.161987
416131.9041,156794.7728,1729.674805
416145.9808,156780.5656,1731.574585
416160.0576,156766.3584,1733.5802
416174.1343,156752.1511,1737.238403
416188.2111,156737.9439,1739.023926
416202.2878,156723.7367,1742.407471
416216.3645,156709.5294,1750.166504
416230.4413,156695.3222,1752.950928
416244.518,156681.115,1754.056152
416258.5948,156666.9078,1755.876587
416272.6715,156652.7005,1754.18042
416286.7482,156638.4933,1752.143066
416300.825,156624.2861,1751.503052
416314.9017,156610.0788,1748.884277
416328.9785,156595.8716,1745.423584
416343.0552,156581.6644,1740.632813
416357.132,156567.4572,1736.397217
416371.2087,156553.2499,1730.769531
416385.2854,156539.0427,1726.782837
416399.3622,156524.8355,1720.711914
416413.4389,156510.6282,1712.783691
416427.5157,156496.421,1707.172852
416441.5924,156482.2138,1699.399902
416455.6691,156468.0066,1683.434692
416469.7459,156453.7993,1675.539551
416483.8226,156439.5921,1667.700806
416497.8994,156425.3849,1665.717163
416511.9761,156411.1776,1666.198486
416526.0529,156396.9704,1667.940674
416540.1296,156382.7632,1660.914063
416554.2063,156368.556,1657.374023
416568.2831,156354.3487,1655.822632
416582.3598,156340.1415,1654.733154
416596.4366,156325.9343,1654.58252
416610.5133,156311.727,1655.546753
416624.59,156297.5198,1657.208618
416638.6668,156283.3126,1658.369385
416652.7435,156269.1054,1659.488892
416666.8203,156254.8981,1661.119019
416680.897,156240.6909,1662.383911
416694.9738,156226.4837,1663.62915
416709.0505,156212.2764,1665.536743
416723.1272,156198.0692,1667.340942
416737.204,156183.862,1669.324585
416751.2807,156169.6547,1672.730713
416765.3575,156155.4475,1676.520874
416779.4342,156141.2403,1680.134033
416793.5109,156127.0331,1685.361938
416807.5877,156112.8258,1689.587769
416821.6644,156098.6186,1693.633667
416835.7412,156084.4114,1700.100586
416849.8179,156070.2041,1705.201538
416863.8946,156055.9969,1709.956421
416877.9714,156041.7897,1716.432983
416892.0481,156027.5825,1719.77356
416906.1249,156013.3752,1724.376099
416920.2016,155999.168,1731.802368
416934.2784,155984.9608,1735.95752
416948.3551,155970.7535,1739.939331
416962.4318,155956.5463,1746.335693
416976.5086,155942.3391,1750.324707
416990.5853,155928.1319,1753.938477
417004.6621,155913.9246,1760.020874
417018.7388,155899.7174,1757.065918
417032.8155,155885.5102,1753.461304
417046.8923,155871.3029,1746.661255
417060.969,155857.0957,1742.619019
417075.0458,155842.8885,1744.466675
417089.1225,155828.6813,1752.268311
417103.1993,155814.474,1754.722534
417117.276,155800.2668,1757.482666
417131.3527,155786.0596,1766.793335
417145.4295,155771.8523,1770.054321
417159.5062,155757.6451,1772.931641
417173.583,155743.4379,1772.410522
417187.6597,155729.2307,1771.439819
417201.7364,155715.0234,1771.996704
417215.8132,155700.8162,1771.32373
417229.8899,155686.609,1770.252075
417243.9667,155672.4017,1770.557129
417258.0434,155658.1945,1769.798218
417272.1202,155643.9873,1769.134277
417286.1969,155629.7801,1769.423096
417300.2736,155615.5728,1768.757568
417314.3504,155601.3656,1768.070679
417328.4271,155587.1584,1768.098389
417342.5039,155572.9511,1767.589233
417356.5806,155558.7439,1767.560791
417370.6573,155544.5367,1768.966309
417384.7341,155530.3295,1769.355469
417398.8108,155516.1222,1769.656006
417412.8876,155501.915,1771.808228
417426.9643,155487.7078,1772.83313
417441.0411,155473.5005,1774.138306
417455.1178,155459.2933,1776.809448
417469.1945,155445.0861,1777.565918
417483.2713,155430.8789,1778.242554
417497.348,155416.6716,1779.178345
417511.4248,155402.4644,1779.143921
417525.5015,155388.2572,1778.788818
417539.5782,155374.0499,1778.726685
417553.655,155359.8427,1777.920532
417567.7317,155345.6355,1776.958252
417581.8085,155331.4283,1775.696045
417595.8852,155317.221,1774.349976
417609.962,155303.0138,1772.800171
417624.0387,155288.8066,1770.96106
417638.1154,155274.5993,1769.292847
417652.1922,155260.3921,1768.036255
417666.2689,155246.1849,1766.438354
417680.3457,155231.9777,1765.128784
417694.4224,155217.7704,1763.505615
417708.4991,155203.5632,1761.278931
417722.5759,155189.356,1759.462891
417736.6526,155175.1487,1757.711182
417750.7294,155160.9415,1756.078857
417764.8061,155146.7343,1755.149414
417778.8828,155132.5271,1754.285645
417792.9596,155118.3198,1752.968018
417807.0363,155104.1126,1751.752441
417821.1131,155089.9054,1750.401245
417835.1898,155075.6981,1748.319336
417849.2666,155061.4909,1746.701782
417863.3433,155047.2837,1745.277344
417877.42,155033.0765,1744.11792
417891.4968,155018.8692,1743.539917
417905.5735,155004.662,1743.155273
417919.6503,154990.4548,1742.616455
417933.727,154976.2475,1742.245483
417947.8037,154962.0403,1741.691895
417961.8805,154947.8331,1741.399414
417975.9572,154933.6259,1740.939575
417990.034,154919.4186,1739.817993
418004.1107,154905.2114,1739.149536
418018.1875,154891.0042,1738.506714
418032.2642,154876.7969,1737.215942
418046.3409,154862.5897,1736.557373
418060.4177,154848.3825,1735.933838
418074.4944,154834.1752,1734.983887
418088.5712,154819.968,1734.663086
418102.6479,154805.7608,1734.22522
418116.7246,154791.5536,1733.215698
418130.8014,154777.3463,1732.696655
418144.8781,154763.1391,1731.881958
418158.9549,154748.9319,1730.126953
418173.0316,154734.7246,1729.419434
418187.1084,154720.5174,1728.810181
418201.1851,154706.3102,1727.105347
418215.2618,154692.103,1726.534912
418229.3386,154677.8957,1725.702515
418243.4153,154663.6885,1723.916016
418257.4921,154649.4813,1723.001343
418271.5688,154635.274,1721.895752
418285.6455,154621.0668,1719.544556
418299.7223,154606.8596,1717.639893
418313.799,154592.6524,1715.449341
418327.8758,154578.4451,1712.530029
418341.9525,154564.2379,1710.936646
418356.0293,154550.0307,1709.075317
418370.106,154535.8234,1707.084106
418384.1827,154521.6162,1706.301147
418398.2595,154507.409,1705.685425
418412.3362,154493.2018,1704.572266
418426.413,154478.9945,1703.840454
418440.4897,154464.7873,1703.134521
418454.5664,154450.5801,1701.78186
418468.6432,154436.3728,1700.912476
418482.7199,154422.1656,1700.228271
418496.7967,154407.9584,1699.663452
418510.8734,154393.7512,1699.130615
418524.9501,154379.5439,1698.586304
418539.0269,154365.3367,1697.968872
418553.1036,154351.1295,1697.580444
418567.1804,154336.9222,1697.327393
