X,Y,RASTERVALU
423016.1141,5047465.48,2464.618896
423633.4757,5046848.119,2230.192627
425279.7731,5045572.238,2059.496826
427378.8022,5043637.839,2481.931885
428736.9976,5042526.588,2427.693359
430753.7119,5041538.81,2082.136719
421781.8252,5046231.191,-4535.381104
422399.1868,5045613.83,-4769.807373
424045.4842,5044337.949,-4940.503174
426144.5133,5042403.55,-4518.068115
427502.7087,5041292.299,-4572.306641
429519.423,5040304.521,-4917.863281
